"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-0.240017255874904,0.0151179106532817,-15.8763509971401,1.74065869890958e-56,-0.26964924455463,-0.210385267195178
"ROI_percentuale",0.657173028923253,0.00543006567512866,121.024876721713,0,0.646529782756121,0.667816275090385
"integrazione_verticale",-0.348009456069267,0.0100301720199704,-34.6962599820192,1.0856234775259e-257,-0.367669179596403,-0.32834973254213
"ROE_percentuale",0.26721933713341,0.00421659007862777,63.3733258748198,0,0.258954574075704,0.275484100191116
"ROS_percentuale",-0.0807182832789461,0.00613014755947896,-13.1674290864553,1.82639087642597e-39,-0.0927337308664804,-0.0687028356914118
"rendimento_dipendenti",-0.0592925788851324,0.00347962864143113,-17.0399157482351,9.6078551881515e-65,-0.0661128544428634,-0.0524723033274013
"integrazione_verticale_fattBasso",0.135057109335611,0.0127255754029781,10.6130453876376,2.94598520208906e-26,0.110114237603386,0.159999981067837
"integrazione_verticale_fattMedio",0.25211790946447,0.0164808753900082,15.2976042533106,1.37004389474876e-52,0.219814430221279,0.284421388707662
"integrazione_verticale_fattAlto",0.356429414856083,0.0194097466736831,18.3634243583072,7.97131811367905e-75,0.318385176673866,0.394473653038301
"integrazione_verticale_fattMolto Alto",0.332615835046292,0.023126350192812,14.3825477117299,1.02149539186989e-46,0.287286836692407,0.377944833400178
"indice_indipendenza_finanziaria_percentuale",-0.090298973454376,0.00533150559883684,-16.9368617889244,5.4563477106756e-64,-0.100749036110113,-0.0798489107986388
"macroareaIsole",-0.088421182555293,0.0155255478468479,-5.6952053111121,1.24599255534102e-08,-0.118852163965048,-0.0579902011455384
"macroareaNord-Est",0.0438296464071004,0.00778232149419419,5.63195011151858,1.80087639474754e-08,0.0285758413207544,0.0590834514934465
"macroareaNord-Ovest",0.0558916624250499,0.00756158669991581,7.39152569997937,1.49686674997173e-13,0.0410705104397366,0.0707128144103633
"macroareaSud",-0.0540545883348338,0.0100332970656525,-5.38751997285933,7.20788271259392e-08,-0.0737204371341988,-0.0343887395354688
"log_ricavi_vendite_migl_EUR",0.042833859424138,0.00345290673818497,12.4051596732826,3.10818846801834e-35,0.0360659603589429,0.0496017584893331
"durata_media_debiti_lordo_IVA_gg",-0.0370766644271382,0.00406114068867842,-9.12961831893684,7.37742037547947e-20,-0.0450367375929082,-0.0291165912613683
"rapporto_indebitamento",0.0191669416361778,0.00674924436606573,2.83986481991178,0.00451689212224225,0.00593802811507868,0.032395855157277
"valore_aggiunto_pro_capite_EUR",-0.0328868682407345,0.00428404610057239,-7.67659065021276,1.69313590078662e-14,-0.041283849044959,-0.02448988743651
"durata_media_crediti_lordo_IVA_gg",0.00903950666019765,0.00375014053658687,2.41044477453766,0.0159402221937891,0.00168901197372436,0.0163900013466709
"posizione_finanziaria_netta_migl_EUR",-0.00830393553374756,0.00422147948297245,-1.96706760443629,0.0491864098586247,-0.0165782821098059,-2.95889576892461e-05
"indice_liquidita",0.0458664141391928,0.00428173836900213,10.7121010641951,1.02012358922254e-26,0.0374739566237569,0.0542588716546286
"patrimonio_netto_migl_EUR",-0.0201649859742836,0.00745928682535709,-2.70333966857727,0.00686927479500216,-0.0347856242249689,-0.00554434772359828
"utile_netto_migl_EUR",0.0160261758643757,0.00615306233954954,2.60458532353322,0.00920397027540902,0.00396581396829553,0.0280865377604558
