"k","moran_i","p"
5,0.0232352163451414,1.33503771480585e-10
7,0.0218581440595842,1.26919830145099e-12
9,0.0163998121396993,1.39034559891499e-09
11,0.0138953994612333,1.33774213935496e-08
13,0.0127659466545125,1.41879433610629e-08
15,0.0117338351601436,2.17328490497967e-08
17,0.0106633860000551,5.95068271223426e-08
19,0.0110260263742513,3.6481843214663e-09
21,0.0110287621660415,6.04066448880474e-10
23,0.0116043143502385,1.11288314158426e-11
25,0.0112279230126864,7.44293122624581e-12
27,0.0115607170543963,2.61391377674606e-13
29,0.0108591826948278,1.03660679339248e-12
31,0.0109598726729835,1.11376314905819e-13
33,0.0108673028239089,3.11318221185706e-14
35,0.0109852852783633,2.8840267815442e-15
37,0.0109053498395938,7.92084249431858e-16
39,0.0106625025323839,6.19091337366577e-16
41,0.0104240517271704,5.30496890260983e-16
43,0.0101852153010147,5.02592713732065e-16
45,0.0100423302217459,2.82423848735551e-16
47,0.00955715089462111,1.67393871028843e-15
49,0.00964016626529013,2.48175822444356e-16
51,0.00915561043810653,1.87449314018689e-15
53,0.00917719366817859,4.66025184915754e-16
55,0.00894458863533956,7.31019914341547e-16
57,0.00871781727608343,1.1846547364402e-15
59,0.00857834662196196,1.08582671916825e-15
61,0.00865411407145795,2.03508473576131e-16
63,0.00884888506448825,1.38646037068587e-17
65,0.0088270583183675,5.19514818757565e-18
67,0.00865009887824049,7.37460070826994e-18
69,0.00854038853926587,6.24825018362963e-18
71,0.00855632639572427,1.80921137669986e-18
73,0.00822552275891852,1.17672896273693e-17
75,0.0081091927464829,1.20379345937236e-17
77,0.00795446806340643,1.82958451533375e-17
79,0.00784999243374299,1.83848103697484e-17
