"Subset","variante","Hotspot 99%","Hotspot 95%","Non signif","Coldspot 95%","Coldspot 99%","NA"
"Grande_Centro","W_border",35,10,435,11,18,NA
"Grande_Centro","W_strict",35,11,435,8,20,NA
"Grande_Isole","W_border",3,6,73,1,0,NA
"Grande_Isole","W_strict",4,6,72,1,0,NA
"Grande_Nord-Est","W_border",32,20,789,45,43,NA
"Grande_Nord-Est","W_strict",39,18,783,42,47,NA
"Grande_Nord-Ovest","W_border",115,37,1064,65,87,NA
"Grande_Nord-Ovest","W_strict",116,39,1061,68,84,NA
"Grande_Sud","W_border",0,4,287,7,7,NA
"Grande_Sud","W_strict",0,3,293,4,5,NA
"Media_Centro","W_border",30,46,1931,39,55,NA
"Media_Centro","W_strict",45,62,1900,37,57,NA
"Media_Isole","W_border",46,10,352,14,18,NA
"Media_Isole","W_strict",45,13,349,12,21,NA
"Media_Nord-Est","W_border",138,128,3128,128,182,NA
"Media_Nord-Est","W_strict",147,126,3117,124,190,NA
"Media_Nord-Ovest","W_border",214,131,4055,107,201,NA
"Media_Nord-Ovest","W_strict",211,133,4055,104,205,NA
"Media_Sud","W_border",6,11,1320,23,34,NA
"Media_Sud","W_strict",7,14,1317,22,34,NA
"Micro_Centro","W_border",4,4,68,4,24,NA
"Micro_Centro","W_strict",6,3,67,4,24,NA
"Micro_Isole","W_border",0,0,30,0,0,0
"Micro_Isole","W_strict",2,0,0,0,0,28
"Micro_Nord-Est","W_border",0,0,126,2,0,NA
"Micro_Nord-Est","W_strict",0,0,128,0,0,NA
"Micro_Nord-Ovest","W_border",4,5,150,3,28,NA
"Micro_Nord-Ovest","W_strict",5,5,149,3,28,NA
"Micro_Sud","W_border",0,0,71,2,1,NA
"Micro_Sud","W_strict",0,0,71,2,1,NA
"Piccola_Centro","W_border",127,100,1249,59,106,NA
"Piccola_Centro","W_strict",122,102,1259,51,107,NA
"Piccola_Isole","W_border",50,15,272,20,18,NA
"Piccola_Isole","W_strict",50,13,273,22,17,NA
"Piccola_Nord-Est","W_border",64,81,2218,67,111,NA
"Piccola_Nord-Est","W_strict",71,96,2199,62,113,NA
"Piccola_Nord-Ovest","W_border",105,83,3015,83,117,NA
"Piccola_Nord-Ovest","W_strict",110,89,2999,80,125,NA
"Piccola_Sud","W_border",49,36,987,21,15,NA
"Piccola_Sud","W_strict",43,43,993,17,12,NA
