"Subset","Variante","HH","LL","HL","LH","NonSignif"
"Micro_Nord-Est","W_strict",0,0,0,0,128
"Piccola_Nord-Est","W_strict",28,61,40,37,2375
"Media_Nord-Est","W_strict",67,107,92,88,3350
"Grande_Nord-Est","W_strict",20,21,19,15,854
"Micro_Nord-Ovest","W_strict",3,20,15,0,152
"Piccola_Nord-Ovest","W_strict",62,75,49,50,3167
"Media_Nord-Ovest","W_strict",119,86,55,115,4333
"Grande_Nord-Ovest","W_strict",29,38,25,44,1232
"Micro_Sud","W_strict",0,0,0,0,74
"Piccola_Sud","W_strict",27,7,8,23,1043
"Media_Sud","W_strict",3,27,17,2,1345
"Grande_Sud","W_strict",0,0,0,0,305
"Micro_Centro","W_strict",2,17,9,5,71
"Piccola_Centro","W_strict",52,58,44,43,1444
"Media_Centro","W_strict",15,26,19,12,2029
"Grande_Centro","W_strict",12,13,6,17,461
"Micro_Isole","W_strict",0,0,13,16,1
"Piccola_Isole","W_strict",31,3,4,23,314
"Media_Isole","W_strict",31,21,13,22,353
"Grande_Isole","W_strict",0,0,0,3,80
