"variante","High-High","Low-Low","High-Low","Low-High","Non signif","Subset"
"W_border",0,0,0,0,128,"Micro_Nord-Est"
"W_strict",0,0,0,0,128,"Micro_Nord-Est"
"W_border",0,0,0,0,2541,"Piccola_Nord-Est"
"W_strict",0,0,0,0,2541,"Piccola_Nord-Est"
"W_border",0,0,0,0,3704,"Media_Nord-Est"
"W_strict",0,0,0,0,3704,"Media_Nord-Est"
"W_border",0,0,0,0,929,"Grande_Nord-Est"
"W_strict",0,0,0,0,929,"Grande_Nord-Est"
"W_border",0,0,0,0,190,"Micro_Nord-Ovest"
"W_strict",0,0,0,0,190,"Micro_Nord-Ovest"
"W_border",9,0,1,8,3385,"Piccola_Nord-Ovest"
"W_strict",7,0,1,4,3391,"Piccola_Nord-Ovest"
"W_border",0,0,0,0,4708,"Media_Nord-Ovest"
"W_strict",0,0,0,0,4708,"Media_Nord-Ovest"
"W_border",0,0,0,0,1368,"Grande_Nord-Ovest"
"W_strict",0,0,0,0,1368,"Grande_Nord-Ovest"
"W_border",0,0,0,0,74,"Micro_Sud"
"W_strict",0,0,0,0,74,"Micro_Sud"
"W_border",0,0,0,0,1108,"Piccola_Sud"
"W_strict",0,0,0,0,1108,"Piccola_Sud"
"W_border",0,0,0,0,1394,"Media_Sud"
"W_strict",0,0,0,0,1394,"Media_Sud"
"W_border",0,0,0,0,305,"Grande_Sud"
"W_strict",0,0,0,0,305,"Grande_Sud"
"W_border",0,15,3,0,86,"Micro_Centro"
"W_strict",0,15,3,0,86,"Micro_Centro"
"W_border",0,0,0,0,1641,"Piccola_Centro"
"W_strict",0,0,0,0,1641,"Piccola_Centro"
"W_border",0,0,0,0,2101,"Media_Centro"
"W_strict",0,0,0,0,2101,"Media_Centro"
"W_border",0,0,0,0,509,"Grande_Centro"
"W_strict",0,0,0,0,509,"Grande_Centro"
"W_border",0,0,0,0,30,"Micro_Isole"
"W_strict",0,0,14,14,2,"Micro_Isole"
"W_border",0,0,0,0,375,"Piccola_Isole"
"W_strict",0,0,0,0,375,"Piccola_Isole"
"W_border",0,0,0,0,440,"Media_Isole"
"W_strict",0,0,0,0,440,"Media_Isole"
"W_border",0,0,0,0,83,"Grande_Isole"
"W_strict",0,0,0,0,83,"Grande_Isole"
