"Subset","variante","Non signif","High-High","Low-Low","High-Low","Low-High"
"Grande_Centro","W_border",456,18,11,7,17
"Grande_Centro","W_strict",454,17,13,7,18
"Grande_Isole","W_border",80,NA,NA,NA,3
"Grande_Isole","W_strict",79,NA,NA,NA,4
"Grande_Nord-Est","W_border",854,17,24,19,15
"Grande_Nord-Est","W_strict",843,21,24,23,18
"Grande_Nord-Ovest","W_border",1166,62,42,45,53
"Grande_Nord-Ovest","W_strict",1168,63,38,46,53
"Grande_Sud","W_border",298,NA,NA,7,NA
"Grande_Sud","W_strict",300,NA,NA,5,NA
"Media_Centro","W_border",2016,12,31,24,18
"Media_Centro","W_strict",1999,20,31,26,25
"Media_Isole","W_border",376,28,8,10,18
"Media_Isole","W_strict",374,27,9,12,18
"Media_Nord-Est","W_border",3384,65,96,86,73
"Media_Nord-Est","W_strict",3367,70,100,90,77
"Media_Nord-Ovest","W_border",4293,104,103,98,110
"Media_Nord-Ovest","W_strict",4292,103,102,103,108
"Media_Sud","W_border",1354,1,21,13,5
"Media_Sud","W_strict",1353,1,21,13,6
"Micro_Centro","W_border",76,1,17,7,3
"Micro_Centro","W_strict",74,2,17,7,4
"Micro_Isole","W_border",30,NA,NA,0,0
"Micro_Isole","W_strict",2,NA,NA,14,14
"Micro_Nord-Est","W_border",128,NA,NA,NA,NA
"Micro_Nord-Est","W_strict",128,NA,NA,NA,NA
"Micro_Nord-Ovest","W_border",158,3,20,8,1
"Micro_Nord-Ovest","W_strict",157,5,20,8,0
"Micro_Sud","W_border",73,NA,NA,1,NA
"Micro_Sud","W_strict",73,NA,NA,1,NA
"Piccola_Centro","W_border",1408,55,67,39,72
"Piccola_Centro","W_strict",1412,52,67,40,70
"Piccola_Isole","W_border",307,29,12,6,21
"Piccola_Isole","W_strict",308,29,12,5,21
"Piccola_Nord-Est","W_border",2366,27,63,48,37
"Piccola_Nord-Est","W_strict",2357,32,64,49,39
"Piccola_Nord-Ovest","W_border",3181,60,70,47,45
"Piccola_Nord-Ovest","W_strict",3168,62,74,51,48
"Piccola_Sud","W_border",1044,27,8,7,22
"Piccola_Sud","W_strict",1053,21,7,5,22
