"Subset","Area","Dimensione","n","k_best","AIC_OLS","AIC_SDM","DeltaAIC_OLS_SDM","MoranResidui_SDM_I","MoranResidui_SDM_p","GWR_Eseguita"
"Micro_Nord-Est","Nord-Est","Micro",128,40,168.894252591181,176.226268044373,-7.33201545319181,-0.02054,0.8128,FALSE
"Piccola_Nord-Est","Nord-Est","Piccola",2541,40,1928.15380061481,1914.21666329544,13.9371373193701,-0.00014,0.4753,FALSE
"Micro_Nord-Est","Nord-Est","Micro",128,40,148.49506374481,155.053483076297,-6.55841933148687,-0.02094,0.8199,FALSE
"Piccola_Nord-Est","Nord-Est","Piccola",2541,48,1864.65811121577,1846.8026443676,17.8554668481675,4e-04,0.4164,FALSE
"Media_Nord-Est","Nord-Est","Media",3704,46,2913.24535297575,2872.47812391483,40.7672290609162,-0.00043,0.5201,FALSE
"Grande_Nord-Est","Nord-Est","Grande",929,26,877.949000409922,878.927774147715,-0.978773737792835,-0.00097,0.495,FALSE
"Micro_Nord-Ovest","Nord-Ovest","Micro",190,16,203.430208346993,208.992586002226,-5.56237765523289,-0.02209,0.7793,FALSE
"Piccola_Nord-Ovest","Nord-Ovest","Piccola",3403,24,2275.09504398084,2276.02364722236,-0.928603241515248,-4e-05,0.4784,FALSE
"Media_Nord-Ovest","Nord-Ovest","Media",4708,56,3752.55047724626,3701.49336860969,51.0571086365653,-0.00111,0.6375,FALSE
"Grande_Nord-Ovest","Nord-Ovest","Grande",1368,56,1561.21085626374,1555.69152597773,5.51933028600592,-1e-04,0.4446,FALSE
"Micro_Sud","Sud","Micro",74,12,70.0249158868342,56.8656990278316,13.1592168590026,-0.06753,0.9197,FALSE
"Piccola_Sud","Sud","Piccola",1108,26,967.370920173332,967.691169837301,-0.320249663969093,0.00085,0.4096,FALSE
"Media_Sud","Sud","Media",1394,52,1435.97489492429,1437.47751541697,-1.50262049268076,-0.00113,0.5345,FALSE
"Grande_Sud","Sud","Grande",305,52,398.508209563848,409.633558785823,-11.1253492219752,-0.01135,0.8104,FALSE
"Micro_Centro","Centro","Micro",104,12,85.284386066257,93.9108620774219,-8.62647601116491,-0.02548,0.6794,FALSE
"Piccola_Centro","Centro","Piccola",1641,52,1493.12751548763,1487.4109700298,5.71654545782462,-0.00203,0.6269,FALSE
"Media_Centro","Centro","Media",2101,36,2396.08525518172,2378.70954570474,17.3757094769799,-0.00189,0.6168,FALSE
"Grande_Centro","Centro","Grande",509,40,796.358706221441,806.974258933315,-10.6155527118734,-0.00116,0.4627,FALSE
"Piccola_Isole","Isole","Piccola",375,32,353.796130288344,353.636098921062,0.16003136728267,-0.01389,0.8395,FALSE
"Media_Isole","Isole","Media",440,26,519.031055470149,509.390622013477,9.64043345667164,-0.00878,0.7113,FALSE
"Grande_Isole","Isole","Grande",83,26,121.197818058088,113.220982956228,7.97683510186036,-0.03159,0.8171,FALSE
